Address,Count,Last executed,API Name (if instruction begins it)
7739b292,1,230964,
773b9e35,1,231090,
773b9e37,1,231091,
773b9e39,1,231092,
773b9e3b,1,231093,
773b9e3f,1,231094,
773b9e43,1,231095,
773b9e45,1,231096,
773b9e46,1,231097,
773b9e47,1,231098,
773b9e4b,1,231099,
773b9eb3,1,231100,
773b9eb5,1,231101,
773b9eb6,1,231102,
773b9eb8,1,231103,
773b9ebe,1,231104,
773b9ec3,1,231105,
773b9ec5,1,231106,
773b9ec8,1,231107,
773b9ecb,1,231108,
773b9ecc,1,231109,
773b9ecf,1,231110,
773b9ed0,1,231111,
773b9ed1,1,231112,
773b9ed4,1,231113,
773b9ed6,1,231114,
773b9edc,1,231115,
773b9ee2,1,231116,
773b9ee8,1,231117,
773b9eeb,1,231118,
773b9eee,1,231119,
773b9ef4,1,231120,
773b9ef5,1,231121,
773b9ef6,1,231122,
773b9ef7,1,231123,
773b9ef9,1,231124,
773b9efe,1,231566,
773b9f00,1,231567,
773b9f07,1,231568,
773b9f0d,1,231569,
773b9f10,1,231570,
773b9f12,1,231571,
773b9f13,1,231572,
773b9f14,1,231573,
773b9f16,1,231574,
773b9f17,1,231575,
773b9f1c,1,231579,
773b9f1d,1,231580,
773b9e50,1,231581,
773b9e52,1,231582,
773b9e54,1,231583,
773b9e56,1,231584,
773b9e5b,1,231585,
773b9e61,1,231586,
773b9e65,1,231587,
773b9e69,1,231588,
773b9e6f,1,231589,
773b9e73,1,231590,
773b9e7b,1,231591,
773b9e7f,1,231592,
773b9e81,1,231593,
773b9e86,1,231594,
773b9e8a,1,231595,
773b9e8c,1,231596,
773b9e90,1,231597,
773b9e91,1,231598,
773b9e95,1,231599,
773b9e9a,1,231656,
773b9ea1,1,231657,
773b9ea3,1,231658,
773b9ea4,1,231659,
773b9ea5,1,231660,
773b9ea6,1,231661,
773b9ea8,1,231662,
773b9ead,1,231666,
773b9eaf,1,231667,
773b9eb0,1,231668,
773fbd43,1,231669,
773fbd49,1,231670,
773fbd4b,1,231671,
773fbd72,1,231672,
773fbd78,1,231673,
773fbd7b,1,231674,
773fbd81,1,231675,
773fbe22,1,231676,
773fbe25,1,231677,
773fbe26,1,231678,
773fbe2c,1,231679,
773fbe2d,1,231680,
773fbe2e,1,231681,
773fbe33,1,231682,
773fbe39,1,231683,
7739d0cc,1,231758,
7739d0c7,1,231767,
7739d0ca,1,231768,
773fbe3e,1,232672,
773fbe44,1,232673,
773fbe46,1,232674,
773fbe6b,1,232675,
773fbe71,1,232676,
773fbe77,1,232678,
7531adf0,1,232679,KernelbasePostInit
7531ae19,1,232680,
7531ae1b,1,232681,
7531ae1c,1,232682,
7531ae1e,1,232683,
7531ae21,1,232684,
7531ae26,1,232685,
7531ae28,1,232686,
7531ae2b,1,232687,
7531ae2c,1,232688,
7531ae2f,1,232689,
7531ae36,1,232690,
7531ae37,1,232691,
7531ae39,1,232692,
7531ae40,1,232693,
7531ae45,1,232694,
7531ae48,1,232695,
7531ae4b,1,232696,
7531ae4c,1,232697,
7531ae4f,1,232698,
7531ae56,1,232699,
7531ae59,1,232700,
7531ae5c,1,232701,
7531ae62,1,232708,
7531ae64,1,232709,
7531ae66,1,232710,
7531ae69,1,232711,
7531ae6a,1,232712,
7531ae6c,1,232713,
7531ae6f,1,232714,
7531ae70,1,232715,
7531ae72,1,232716,
7531ae77,1,232717,
7531ae7a,1,232718,
7531ae80,1,232725,
7531ae82,1,232726,
7531ae84,1,232727,
7531ae88,1,232728,
7531ae8a,1,232729,
7531ae8e,1,232730,
7531ae90,1,232731,
7531ae93,1,232732,
7531ae96,1,232733,
7531ae9c,1,232740,
7531ae9e,1,232741,
7531aea7,1,232742,
7531aeaa,1,232743,
7531aead,1,232744,
7531aeaf,1,232745,
7531aeb0,1,232746,
7531aeb5,1,232750,
7531aeb6,1,232751,
7531adf5,1,232752,
7531adf7,1,232753,
7536261c,1,232754,
753c0575,1,232755,
753c0577,1,232756,
753c0578,1,232757,
753c057a,1,232758,
753c057d,1,232759,
753c0582,1,232760,
753c0584,1,232761,
753c0587,1,232762,
753c0588,1,232763,
753c058b,1,232764,
753c0592,1,232765,
753c0593,1,232766,
753c0595,1,232767,
753c059c,1,232768,
753c05a1,1,232769,
753c05a4,1,232770,
753c05a7,1,232771,
753c05a8,1,232772,
753c05ab,1,232773,
753c05b2,1,232774,
753c05b5,1,232775,
753c05b8,1,232776,
753c05be,1,232783,
753c05c0,1,232784,
753c05c6,1,232785,
753c05c9,1,232786,
753c05ca,1,232787,
753c05cc,1,232788,
753c05cf,1,232789,
753c05d0,1,232790,
753c05d2,1,232791,
753c05d7,1,232792,
753c05da,1,232793,
753c05e0,1,232800,
753c05e2,1,232801,
753c05f3,1,232802,
753c05f6,1,232803,
753c05fc,1,232810,
753c05fe,1,232811,
753c0601,1,232812,
753c0603,1,232813,
753c0604,1,232814,
753c0609,1,232818,
753c060a,1,232819,
75362621,1,232820,
75362623,1,232821,
75362625,1,232822,
753c060b,1,232823,
753c060d,1,232824,
753c060e,1,232825,
753c0610,1,232826,
753c0613,1,232827,
753c0618,1,232828,
753c061a,1,232829,
753c061d,1,232830,
753c061e,1,232831,
753c0620,1,232832,
